id;start_date;end_date;status;user_id
1;2023-05-14T12:39:31;2023-05-13T18:50:26;REJECTED;38883
2;2023-05-13T15:44:15;2023-05-14T01:29:00;APPROVED;20680
3;2023-05-14T10:31:50;2023-05-14T01:22:17;REJECTED;42580
4;2023-05-13T22:17:23;2023-05-14T04:05:51;REJECTED;52612
5;2023-05-14T08:57:03;2023-05-14T03:50:58;REJECTED;34894
6;2023-05-14T02:22:15;2023-05-13T15:52:11;APPROVED;58523
7;2023-05-13T23:38:56;2023-05-13T17:57:15;PENDING;75903
8;2023-05-14T03:24:15;2023-05-14T10:00:40;REJECTED;711
9;2023-05-14T00:17:27;2023-05-14T07:07:44;APPROVED;53852
10;2023-05-14T05:00:53;2023-05-13T15:58:40;REJECTED;40907
